用户ID,性别,年龄,城市,商品类别,消费金额(元),购买时间,支付方式,是否使用优惠券
1001,男,28,北京,电子产品,2599.00,2026-03-01 09:25,支付宝,是
1002,女,35,上海,服饰鞋包,899.50,2026-03-01 10:12,微信支付,否
1003,女,22,广州,美妆护肤,459.80,2026-03-01 11:05,支付宝,是
1004,男,42,深圳,家居用品,1299.00,2026-03-01 14:30,银行卡,否
1005,男,31,杭州,电子产品,5999.99,2026-03-01 15:48,支付宝,是
1006,女,26,成都,食品生鲜,156.70,2026-03-02 08:50,微信支付,是
1007,女,40,重庆,母婴用品,689.00,2026-03-02 12:18,支付宝,否
1008,男,29,武汉,运动户外,799.00,2026-03-02 16:22,微信支付,是
1009,女,33,南京,服饰鞋包,1299.00,2026-03-03 09:45,银行卡,否
1010,男,38,西安,家居用品,899.00,2026-03-03 11:30,支付宝,是
1011,女,24,长沙,美妆护肤,329.90,2026-03-03 13:15,微信支付,否
1012,男,45,郑州,电子产品,3699.00,2026-03-04 10:00,银行卡,是
1013,女,27,青岛,食品生鲜,89.80,2026-03-04 14:20,支付宝,是
1014,男,30,厦门,运动户外,1199.00,2026-03-04 15:50,微信支付,否
1015,女,36,苏州,母婴用品,999.00,2026-03-05 08:30,支付宝,是